,salary_min,salary_max,currency,vacancy,link,source
143,55000.0,65000.0,руб.,Продавец-кассир в сеть магазинов пива,https://hh.ru/vacancy/52404746?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
144,57000.0,75000.0,руб.,Резервный кассир (ЮАО),https://hh.ru/vacancy/50655806?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
145,50000.0,,руб.,Продавец-кассир,https://hh.ru/vacancy/52378443?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
146,55000.0,,руб.,Бухгалтер-кассир,https://hh.ru/vacancy/52167185?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
147,,60000.0,руб.,Кассир,https://hh.ru/vacancy/52777492?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
148,35000.0,,руб.,Кассир выходного дня,https://hh.ru/vacancy/52620875?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
149,55000.0,,руб.,Кассир-оператор,https://hh.ru/vacancy/52165159?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
150,70000.0,,руб.,Продавец - кассир,https://hh.ru/vacancy/47862324?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
151,55000.0,,руб.,Продавец-кассир в магазин нижнего белья DIM,https://hh.ru/vacancy/51973327?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
152,40000.0,,руб.,Кассир в ресторан Lambic,https://hh.ru/vacancy/51733269?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
153,45000.0,45000.0,руб.,Бухгалтер-кассир,https://hh.ru/vacancy/52211153?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
